content,tags,question,score
The frequency range of the Philips C8-5 probe is 5.0 - 8.0 MHz.,"frozenset({'C8-5', 'frequency', 'Philips', 'probes'})",Does the Philips C8-5 probe operate within a frequency range of 5.0 - 10.0 MHz?,0
The frequency range of the Philips C9-3v probe is 3.0 - 9.0 MHz.,"frozenset({'C9-3v', 'frequency', 'Philips', 'probes'})",Is the frequency range of the Philips C9-3v probe above 5.0 MHz?,0
The manufacturer of the L12-3 probe is Philips.,"frozenset({'L12-3', 'manufacturer', 'Philips', 'probes'})",Is the Philips L12-3 probe compatible with multiple ultrasound systems?,0
The manufacturer of the L12-3 probe is Philips.,"frozenset({'L12-3', 'manufacturer', 'Philips', 'probes'})",What is the frequency range of the Philips L12-3 probe?,0
The Philips L12-3 probe is currently out of stock or not available for sale.,"frozenset({'L12-3', 'Philips', 'stock', 'probes'})",Is the Philips L12-3 probe available for sale?,0
The Philips L12-3 probe is currently out of stock or not available for sale.,"frozenset({'L12-3', 'Philips', 'stock', 'probes'})",Are there any L12-3 transducers currently in stock?,0
The frequency range of the Philips L12-3 probe is 3.0 - 12.0 MHz.,"frozenset({'L12-3', 'frequency', 'Philips', 'probes'})",Is the Philips L12-3 probe a convex array type transducer?,0
The manufacturer of the L15-7io probe is Philips.,"frozenset({'manufacturer', 'Philips', 'L15-7io', 'probes'})",What is the manufacturer of the L15-7io probe's transducer?,0
The manufacturer of the S4-1 probe is Philips.,"frozenset({'manufacturer', 'Philips', 'S4-1', 'probes'})",Is the S4-1 probe made by a company other than ATL?,0
The manufacturer of the S4-1 probe is Philips.,"frozenset({'manufacturer', 'Philips', 'S4-1', 'probes'})",Is the manufacturer of the S4-1 probe different from the manufacturer of the C3 probe?,0
The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",Is the Philips S4-2 probe currently available for sale?,0
The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",Are there any Philips S4-2 probes in stock?,0
The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",Is the Philips S4-2 probe currently available for sale?,0
The Philips S4-2 probe is currently out of stock or not available for sale.,"frozenset({'stock', 'S4-2', 'Philips', 'probes'})",Do you have any Philips S4-2 probes in stock?,0
The manufacturer of the 10V4 probe is Siemens Acuson.,"frozenset({'manufacturer', '10V4', 'Siemens Acuson', 'probes'})",What is the frequency range of the Siemens Acuson 10V4 probe?,0
The Siemens Acuson 12L3 probe is currently out of stock or not available for sale.,"frozenset({'stock', '12L3', 'Siemens Acuson', 'probes'})",Is the Siemens Acuson 12L3 probe currently available for sale?,0
The Siemens Acuson 12L3 probe is currently out of stock or not available for sale.,"frozenset({'stock', '12L3', 'Siemens Acuson', 'probes'})",Do you have any Siemens Acuson 12L3 probes in stock?,0
The Siemens Acuson 15L8W probe is compatible with the following systems: Sequoia.,"frozenset({'Siemens Acuson', 'probes', 'compatibility', 'Sequoia', '15L8W'})",Are there any other systems besides Sequoia that the Siemens Acuson 15L8W probe is compatible with?,0
The frequency range of the Siemens Acuson 5C2 probe is 2.0 - 5.0 MHz.,"frozenset({'5C2', 'frequency', 'Siemens Acuson', 'probes'})",Is the frequency range of the Siemens Acuson 5C2 transducer above 5.0 MHz?,0
The Siemens Acuson 9EVF4 probe is currently out of stock or not available for sale.,"frozenset({'stock', '9EVF4', 'Siemens Acuson', 'probes'})",Is the Siemens Acuson 9EVF4 probe currently available for sale?,0
The Siemens Acuson 9EVF4 probe is currently out of stock or not available for sale.,"frozenset({'stock', '9EVF4', 'Siemens Acuson', 'probes'})",Can you purchase the Siemens Acuson 9EVF4 probe?,0
The frequency range of the Siemens Acuson 9EVF4 probe is 4.0 - 9.0 MHz.,"frozenset({'frequency', '9EVF4', 'Siemens Acuson', 'probes'})",Are there any other frequency options available for the Siemens Acuson 9EVF4 probe besides 4.0 - 9.0 MHz?,0
"The ATL HDI 1000 ultrasound system is compatible with the following ATL probes: C9-5ICT, CT8-4.","frozenset({'systems', 'ATL', 'compatibility', 'C9-5ICT, CT8-4', 'HDI 1000'})",Can you use any ATL probes on the ATL HDI 1000 ultrasound system?,0
The Voluson E6 ultrasound system is made by G.E..,"frozenset({'G.E.', 'manufacturer', 'Voluson E6', 'systems'})",Is the Voluson E6 ultrasound system compatible with the RIC5-9D probe?,0
The Voluson E8 ultrasound system is made by G.E..,"frozenset({'G.E.', 'manufacturer', 'Voluson E8', 'systems'})",Is the Voluson E8 made by a company other than G.E.?,0
The LOGIQ S7 ultrasound system is made by G.E..,"frozenset({'G.E.', 'manufacturer', 'systems', 'LOGIQ S7'})",Is the LOGIQ S7 system compatible with the RIC5-9D probe?,0
The G.E. Vivid E95 ultrasound system is compatible with the following G.E. probes: RIC5-9D.,"frozenset({'systems', 'G.E.', 'Vivid E95', 'compatibility', 'RIC5-9D'})",Is the RIC5-9D probe compatible with the Voluson E6 system?,0
The G.E. Vivid E95 ultrasound system is compatible with the following G.E. probes: RIC5-9D.,"frozenset({'systems', 'G.E.', 'Vivid E95', 'compatibility', 'RIC5-9D'})",Which G.E. probe is compatible with both the LOGIQ S7 and LOGIQ E9 systems?,0
The EPIQ 5 ultrasound system is made by Philips.,"frozenset({'EPIQ 5', 'systems', 'Philips', 'manufacturer'})",What company manufactures the EPIQ 5 transducer?,0
"The Philips iE33 ultrasound system is compatible with the following Philips probes: C5-1, C8-5, L12-3, S4-1, S4-2.","frozenset({'C5-1, C8-5, L12-3, S4-1, S4-2', 'systems', 'compatibility', 'Philips', 'iE33'})","Are the C5-1, C8-5, L12-3, S4-1, and S4-2 probes compatible with any other ultrasound systems besides those made by Philips?",0
The Siemens Acuson Juniper ultrasound system is compatible with the following Siemens Acuson probes: 12L3.,"frozenset({'systems', 'Siemens Acuson', 'compatibility', 'Juniper', '12L3'})",Are all Siemens Acuson probes compatible with the Siemens Acuson Juniper system?,0
The Siemens Acuson Sequoia 512 ultrasound system is compatible with the following Siemens Acuson probes: 5C2.,"frozenset({'systems', 'Siemens Acuson', 'compatibility', 'Sequoia 512', '5C2'})",Does the Siemens Acuson Sequoia 512 system support all Siemens Acuson probes?,0
