Question,Answer,Categories,Tags,SQL Query,SQL Result,Final Answer,SQL Query Time,Final Answer Time
Is C4-2 made by ATL or G.E.?,The C4-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'C4-2']","SELECT Manufacturer
FROM probes
WHERE Probe_Model = 'C4-2' AND (Manufacturer = 'ATL' OR Manufacturer = 'G.E.');","[('ATL',)]",ATL,12.22619462,2.992021799
What systems is ATL C4-2 compatible with?,The ATL C4-2 is compatible with HDI 5000 ultrasound systems.,['Compatibility'],"['ATL', 'C4-2', 'HDI 5000']",SELECT s.System_Name FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C4-2';,"[('HDI 5000',)]",The ATL C4-2 is compatible with the HDI 5000.,75.41454148,3.358365059
Can the ATL C4-2 work with the HDI 5000?,"Yes, the ATL C4-2 is compatible with the HDI 5000 ultrasound system.",['Compatibility'],"['ATL', 'C4-2', 'HDI 5000']",SELECT CASE WHEN EXISTS (SELECT 1 FROM compatibility c JOIN systems s ON c.System_ID = s.System_ID WHERE s.System_Name = 'HDI 5000' AND c.Probe_ID = p.Probe_ID) THEN 'Yes' ELSE 'No' END AS WorksWith FROM probes p WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C4-2';,"[('Yes',)]",The ATL C4-2 works with the HDI 5000.,13.30566287,3.417214632
Can the ATL C4-2 work with the CX50?,"No, the ATL C4-2 is not compatible with the CX50 ultrasound system.",['Compatibility'],"['ATL', 'C4-2']","SELECT p.Probe_Model, p.Manufacturer
FROM probes p
JOIN compatibility c ON p.Probe_ID = c.Probe_ID
WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C4-2'
AND EXISTS (SELECT 1 FROM systems s WHERE s.System_Name = 'CX50' AND c.System_ID = s.System_ID)
LIMIT 5;",,"No, the ATL C4-2 cannot work with the CX50.",13.22104263,3.355216265
What type of probe is the ATL C4-2?,The ATL C4-2 is a Convex Array probe with a frequency range of 2-4 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C4-2', 'Convex Array']",SELECT p.Array_Type FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID WHERE c.Probe_ID IN (SELECT Probe_ID FROM probes WHERE Manufacturer='ATL' AND Probe_Model='C4-2') LIMIT 5;,"[('Convex',)]",The ATL C4-2 is a Convex probe.,36.4419558,3.2688694
What can the ATL C4-2 be used for?,"The ATL C4-2 can be used for abdominal, obstetric, gynecologic, general applications.",['Applications'],"['ATL', 'C4-2', 'abdominal, obstetric, gynecologic, general']",SELECT Applications FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C4-2';,"[('abdominal, obstetric, gynecologic, general',)]","The ATL C4-2 can be used for abdominal, obstetric, gynecologic, and general applications.",103.2424049,3.581965923
Do you have any ATL C4-2 in stock?,"Yes, we currently have ATL C4-2 available for sale.",['Stock'],"['ATL', 'C4-2']",SELECT CASE WHEN Stock > 0 THEN 'Yes' ELSE 'No' END AS InStock FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C4-2';,"[('Yes',)]","Yes, we have ATL C4-2 in stock.",37.24259233,3.356800318
Do you have any C4-2 for HDI 5000 for sale?,"Yes, we currently have the ATL C4-2 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C4-2', 'HDI 5000']","SELECT p.Manufacturer, p.Probe_Model FROM probes p JOIN compatibility c ON p.Probe_ID = c.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE s.System_Name = 'HDI 5000' AND p.Array_Type = 'C4-2' LIMIT 5;",,"No, we currently do not have any Siemens Acuson 9EVF4 probes in stock.",12.92384291,3.567242622
Who is the manufacturer of C5-2 transducer?,The C5-2 probe is made by ATL.,['Manufacturer'],"['ATL', 'C5-2']",SELECT p.Manufacturer FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID WHERE p.Probe_Model = 'C5-2' LIMIT 5;,"[('ATL',), ('ATL',), ('ATL',), ('ATL',), ('ATL',)]",The manufacturer of the C5-2 transducer is Siemens Acuson.,11.62161565,3.368329763
Is C5-2 made by ATL or Philips?,The C5-2 is made by both ATL and Philips.,['Manufacturer'],"['ATL', 'C5-2']",SELECT Manufacturer FROM probes WHERE Probe_Model = 'C5-2' AND (Manufacturer = 'ATL' OR Manufacturer = 'Philips');,"[('ATL',), ('Philips',)]",Both ATL and Philips make the C5-2 probe.,11.63232064,3.272428513
What systems is ATL C5-2 compatible with?,"The ATL C5-2 is compatible with HDI 1500,  HDI 3000,  HDI 3500,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C5-2', 'HDI 1500, HDI 3000, HDI 3500, HDI 5000']",SELECT s.System_Name FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C5-2' LIMIT 5;,"[('HDI 1500',), ('HDI 3000',), ('HDI 3500',), ('HDI 5000',), ('HD11',)]","The ATL C5-2 is compatible with the HDI 1500, HDI 3000, HDI 3500, HDI 5000, and HD11 systems.",12.55710125,4.18087697
Can the ATL C5-2 work with the HDI 1500?,"Yes, the ATL C5-2 is compatible with the HDI 1500 ultrasound system, as well as  HDI 3000,  HDI 3500,  HDI 5000.",['Compatibility'],"['ATL', 'C5-2', 'HDI 1500']","SELECT p.Probe_Model, s.System_Name
FROM probes p
JOIN compatibility c ON p.Probe_ID = c.Probe_ID
JOIN systems s ON c.System_ID = s.System_ID
WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C5-2' AND s.System_Name = 'HDI 1500';","[('C5-2', 'HDI 1500')]","Yes, the ATL C5-2 can work with the HDI 1500.",77.85074449,3.512267113
Can the ATL C5-2 work with the EPIQ?,"No, the ATL C5-2 is not compatible with the EPIQ ultrasound system.",['Compatibility'],"['ATL', 'C5-2']","SELECT CASE WHEN c.Probe_ID IS NOT NULL THEN 'Yes' ELSE 'No' END AS Compatible
FROM probes p
JOIN compatibility c ON p.Probe_ID = c.Probe_ID
JOIN systems s ON c.System_ID = s.System_ID
WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C5-2'
AND s.System_Name = 'EPIQ';",,"No, the ATL C5-2 does not work with the EPIQ.",13.12189245,3.468259811
What type of probe is the ATL C5-2?,The ATL C5-2 is a Convex Array probe with a frequency range of 2-5 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C5-2', 'Convex Array']",SELECT p.Array_Type FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID WHERE c.System_ID IN (SELECT s.System_ID FROM systems s JOIN compatibility c ON s.System_ID = c.System_ID WHERE s.System_Name = 'HDI 1500' AND p.Manufacturer = 'ATL' AND p.Probe_Model = 'C5-2') LIMIT 5;,"[('Convex',)]",The ATL C5-2 is a Convex probe.,13.13356519,3.312843084
What can the ATL C5-2 be used for?,The ATL C5-2 can be used for abdominal applications.,['Applications'],"['ATL', 'C5-2', 'abdominal']",SELECT Applications FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C5-2';,"[('abdominal, general',)]",The ATL C5-2 probe can be used for abdominal and general applications.,22.55075741,3.374847174
Do you have any ATL C5-2 for sale?,"Yes, we currently have ATL C5-2 available for sale.",['Stock'],"['ATL', 'C5-2']",SELECT CASE WHEN p.Stock > 0 THEN 'Yes' ELSE 'No' END AS Availability FROM probes p WHERE Manufacturer = 'ATL' AND Probe_Model = 'C5-2';,"[('Yes',)]","Yes, we have ATL C5-2 for sale.",11.89986682,3.277704716
Do you have any C5-2 for HDI 5000 for sale?,"Yes, we currently have the ATL C5-2 for the HDI 5000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C5-2', 'HDI 5000']","SELECT p.Probe_Model, p.Stock
FROM probes p
JOIN compatibility c ON p.Probe_ID = c.Probe_ID
JOIN systems s ON c.System_ID = s.System_ID
WHERE s.System_Name = 'HDI 5000' AND p.Array_Type = 'C5-2' LIMIT 5;",,"No, we do not have any Siemens Acuson 9EVF4 probes in stock. Unfortunately, we also do not have any available for sale that are compatible with the S3000 ultrasound system.",12.70201278,4.128704548
Who is the maker of C5-IVT probe?,The C5-IVT probe is made by ATL.,['Manufacturer'],"['ATL', 'C5-IVT']",SELECT Manufacturer FROM probes WHERE Probe_Model = 'C5-IVT';,"[('ATL',)]",The maker of the C5-IVT probe is ATL.,11.56564331,3.180047512
Is C5-IVT made by ATL or Siemens Acuson?,The C5-IVT probe is made by ATL.,['Manufacturer'],"['ATL', 'C5-IVT']",SELECT Manufacturer FROM probes WHERE Probe_Model = 'C5-IVT';,"[('ATL',)]",The C5-IVT probe is made by ATL.,11.32184005,3.166774511
What systems is ATL C5-IVT compatible with?,"The ATL C5-IVT is compatible with UM9 HDI,  HDI 1500,  HDI 3000,  HDI 3500,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C5-IVT', 'UM9 HDI, HDI 1500, HDI 3000, HDI 3500, HDI 5000']",SELECT s.System_Name FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C5-IVT' LIMIT 5;,"[('UM9 HDI',), ('HDI 1500',), ('HDI 3000',), ('HDI 3500',), ('HDI 5000',)]","The ATL C5-IVT is compatible with the UM9 HDI, HDI 1500, HDI 3000, HDI 3500, and HDI 5000 ultrasound systems.",37.59748149,11.34969306
Does the ATL C5-IVT work with the  HDI 3000?,"Yes, the ATL C5-IVT is compatible with the  HDI 3000 ultrasound system, as well as UM9 HDI,  HDI 1500,  HDI 3500,  HDI 5000.",['Compatibility'],"['ATL', 'C5-IVT', ' HDI 3000']",SELECT * FROM probes p JOIN compatibility c ON p.Probe_ID = c.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C5-IVT' AND s.System_Name = 'HDI 3000' LIMIT 5;,"[(4, 'ATL', 'C5-IVT', None, 'Convex', '4-6 MHz', 'intracavitary, endovaginal, gynecological', 0, 'The ATL C5-IVT convex linear ultrasound transducer is designed for endovaginal applications, making it an essential tool for gynecological diagnostics. It is compatible with a range of ATL ultrasound systems, including the UM9 HDI, HDI 1500, HDI 3000, HDI 3500, and HDI 5000. Operating at a...', 9, 3, 'HDI 3000')]","Yes, the ATL C5-IVT works with the HDI 3000.",13.33489132,10.89317799
Can the ATL C5-IVT work with the Juniper?,"No, the ATL C5-IVT is not compatible with the Juniper ultrasound system.",['Compatibility'],"['ATL', 'C5-IVT']",SELECT s.System_Name FROM systems s JOIN compatibility c ON s.System_ID = c.System_ID JOIN probes p ON c.Probe_ID = p.Probe_ID WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C5-IVT' LIMIT 5;,"[('UM9 HDI',), ('HDI 1500',), ('HDI 3000',), ('HDI 3500',), ('HDI 5000',)]",The ATL C3 works with the HDI 5000.,12.86961675,10.40575457
What type of probe is the ATL C5-IVT?,The ATL C5-IVT is a Convex Array probe with a frequency range of 4-6 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C5-IVT', 'Convex Array']","SELECT Manufacturer, Probe_Model FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C5-IVT';","[('ATL', 'C5-IVT')]",The ATL C5-IVT is the type of probe.,11.4378953,10.37079144
What can the ATL C5-IVT be used for?,"The ATL C5-IVT can be used for intracavitary, endovaginal, gynecological applications.",['Applications'],"['ATL', 'C5-IVT', 'intracavitary, endovaginal, gynecological']",SELECT Applications FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C5-IVT';,"[('intracavitary, endovaginal, gynecological',)]","The ATL C5-IVT works with intracavitary, endovaginal, and gynecological applications.",69.02438784,10.6865654
Do you have any ATL C5-IVT for sale?,We currently do not have any ATL C5-IVT in stock.,['Stock'],"['ATL', 'C5-IVT']",SELECT CASE WHEN Stock > 0 THEN 'Yes' ELSE 'No' END AS AvailableForSale FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C5-IVT';,"[('No',)]",No.,12.36602235,10.11656618
Do you have any C5-IVT for UM9 HDI for sale?,"Unfortunately, we do not have any ATL C5-IVT for the UM9 HDI available for sale.","['Stock', 'Compatibility']","['ATL', 'C5-IVT', 'UM9 HDI']","SELECT p.Probe_Model, s.System_Name FROM probes p JOIN compatibility c ON p.Probe_ID = c.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE p.Manufacturer = 'Siemens Acuson' AND p.Probe_Model = 'C5-IVT' AND s.System_Name = 'UM9 HDI' LIMIT 5;",,"Unfortunately, we do not have any C5-IVT for UM9 HDI available for sale.",13.50213742,10.82349563
Who is the maker of C7-4 probe?,The C7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'C7-4']",SELECT Manufacturer FROM probes WHERE Probe_Model = 'C7-4';,"[('ATL',)]",The maker of the C7-4 probe is ATL.,22.95524788,10.27524376
Is C7-4 made by ATL or G.E.?,The C7-4 probe is made by ATL.,['Manufacturer'],"['ATL', 'C7-4']",SELECT Manufacturer FROM probes WHERE Probe_Model = 'C7-4' AND (Manufacturer = 'ATL' OR Manufacturer = 'G.E.');,"[('ATL',)]",The C7-4 probe is made by ATL.,11.74852586,10.22008014
What systems is ATL C7-4 compatible with?,"The ATL C7-4 is compatible with UM9 HDI,  HDI 1500,  HDI 3000,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C7-4', 'UM9 HDI, HDI 1500, HDI 3000, HDI 5000']","SELECT s.System_Name
FROM compatibility c
JOIN probes p ON c.Probe_ID = p.Probe_ID
JOIN systems s ON c.System_ID = s.System_ID
WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C7-4'
LIMIT 5;","[('UM9 HDI',), ('HDI 1500',), ('HDI 3000',), ('HDI 5000',)]","The ATL C7-4 is compatible with the HDI 5000, HDI 3000, and HDI 1500.",1103.69543,10.72121787
Does the ATL C7-4 work with the  HDI 3000?,"Yes, the ATL C7-4 is compatible with the  HDI 3000 ultrasound system, as well as UM9 HDI,  HDI 1500,  HDI 5000.",['Compatibility'],"['ATL', 'C7-4', ' HDI 3000']","SELECT CASE WHEN EXISTS (SELECT 1 FROM compatibility c JOIN systems s ON c.System_ID = s.System_ID WHERE s.System_Name = 'HDI 3000' AND c.Probe_ID = p.Probe_ID) THEN 'Yes' ELSE 'No' END AS WorksWith 
FROM probes p 
WHERE p.Manufacturer = ' ATL' AND p.Probe_Model = 'C7-4';",,The ATL C7-4 works with the HDI 3000.,40.08986592,10.38441205
Can the ATL C7-4 work with the HDI 4000?,"No, the ATL C7-4 is not compatible with the HDI 4000 ultrasound system.",['Compatibility'],"['ATL', 'C7-4']","SELECT CASE WHEN EXISTS (SELECT 1 FROM compatibility c JOIN systems s ON c.System_ID = s.System_ID WHERE s.System_Name = 'HDI 4000' AND c.Probe_ID = p.Probe_ID) THEN 'Yes' ELSE 'No' END AS WorksWith 
FROM probes p 
WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C7-4';","[('No',)]","No, the ATL C7-4 does not work with the HDI 4000.",13.23960876,10.55564857
What type of probe is the ATL C7-4?,The ATL C7-4 is a Convex Array probe with a frequency range of 4-7 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C7-4', 'Convex Array']",SELECT p.Array_Type FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID WHERE c.System_ID IN (SELECT s.System_ID FROM systems s JOIN compatibility c2 ON s.System_ID = c2.System_ID WHERE c2.Probe_ID IN (SELECT p3.Probe_ID FROM probes p3 WHERE p3.Manufacturer = 'ATL' AND p3.Probe_Model = 'C7-4')) LIMIT 5;,"[('Convex',), ('Convex',), ('Convex',), ('Convex',), ('Convex',)]",The ATL C7-4 is a Convex probe.,48.26733875,10.38921547
What can the ATL C7-4 be used for?,"The ATL C7-4 can be used for cardiac, vascular, general applications.",['Applications'],"['ATL', 'C7-4', 'cardiac, vascular, general']",SELECT Applications FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C7-4';,"[('cardiac, vascular, general',)]","The ATL C7-4 works with the following applications: cardiac, vascular, and general.",33.40759492,10.47579885
Do you have any ATL C7-4 in stock?,We currently do not have any ATL C7-4 in stock.,['Stock'],"['ATL', 'C7-4']",SELECT CASE WHEN Stock > 0 THEN 'Yes' ELSE 'No' END AS InStock FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C3';,"[('No',)]",We do not have any ATL C7-4 in stock.,71.58597827,10.2005744
Do you have any C7-4 for HDI 1500 for sale?,"Unfortunately, we do not have any ATL C7-4 for the HDI 1500 available for sale.","['Stock', 'Compatibility']","['ATL', 'C7-4', 'HDI 1500']","SELECT p.Probe_Model, p.Manufacturer, s.System_Name FROM probes p JOIN compatibility c ON p.Probe_ID = c.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE s.System_Name = 'HDI 1500' AND p.Array_Type = 'C7-4' LIMIT 5;",,"Unfortunately, we do not have any Siemens Acuson 9EVF4 for the S3000 available for sale.",51.41155672,10.68378329
Who is the maker of C8-4v?,The C8-4v probe is made by ATL.,['Manufacturer'],"['ATL', 'C8-4v']",SELECT Manufacturer FROM probes WHERE Probe_Model = 'C8-4v';,"[('ATL',), ('Philips',)]",The makers of the C8-4v are ATL and Philips.,11.04106092,10.21069169
Is C8-4v made by ATL or Philips?,The C8-4v is made by both ATL and Philips.,['Manufacturer'],"['ATL', 'C8-4v']","SELECT p.Manufacturer, CASE WHEN p.Manufacturer = 'ATL' THEN 'Yes' WHEN p.Manufacturer = 'Philips' THEN 'Yes' ELSE 'No' END AS MadeBy FROM probes p WHERE p.Probe_Model = 'C8-4v';","[('ATL', 'Yes'), ('Philips', 'Yes')]",Both.,12.29085016,9.986587048
What systems is ATL C8-4v compatible with?,"The ATL C8-4v is compatible with HDI 3000,  HDI 3500,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C8-4v', 'HDI 3000, HDI 3500, HDI 5000']",SELECT s.System_Name FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C8-4v' LIMIT 5;,"[('HDI 3000',), ('HDI 3500',), ('HDI 5000',), ('HD11',), ('HD11 XE',)]","The ATL C8-4v is compatible with the HDI 3000, HDI 3500, HDI 5000, and HD11/HD11 XE ultrasound systems.",87.46746254,11.02873111
Can the ATL C8-4v work with the HDI 3000?,"Yes, the ATL C8-4v is compatible with the HDI 3000 ultrasound system, as well as  HDI 3500,  HDI 5000.",['Compatibility'],"['ATL', 'C8-4v', 'HDI 3000']",SELECT CASE WHEN EXISTS (SELECT 1 FROM compatibility c JOIN systems s ON c.System_ID = s.System_ID WHERE s.System_Name = 'HDI 3000' AND c.Probe_ID = p.Probe_ID) THEN 'Yes' ELSE 'No' END AS Compatible FROM probes p WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C8-4v';,"[('Yes',)]",Yes.,25.7790432,9.952272892
Can the ATL C8-4v work with the Vivid E95?,"No, the ATL C8-4v is not compatible with the Vivid E95 ultrasound system.",['Compatibility'],"['ATL', 'C8-4v']","SELECT p.Probe_Model, s.System_Name
FROM probes p JOIN compatibility c ON p.Probe_ID = c.Probe_ID
JOIN systems s ON c.System_ID = s.System_ID
WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C8-4v'
LIMIT 5;","[('C8-4v', 'HDI 3000'), ('C8-4v', 'HDI 3500'), ('C8-4v', 'HDI 5000'), ('C8-4v', 'HD11'), ('C8-4v', 'HD11 XE')]","Yes, the ATL C8-4v works with the HDI 5000.",25.4895308,10.56752419
What type of probe is the ATL C8-4v?,The ATL C8-4v is a Convex Array probe with a frequency range of 4-8 MHz.,"['Array Type', 'Frequency Range', 'Probe Type']","['ATL', 'C8-4v', 'Convex Array']","SELECT Manufacturer, Probe_Model FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C8-4v';","[('ATL', 'C8-4v')]",Linear array probe.,11.1111021,9.799754858
What can the ATL C8-4v be used for?,"The ATL C8-4v can be used for endovaginal, gynecological, endocavitary applications.",['Applications'],"['ATL', 'C8-4v', 'endovaginal, gynecological, endocavitary']",SELECT Applications FROM probes WHERE Manufacturer = 'ATL' AND Probe_Model = 'C8-4v';,"[('endovaginal, gynecological, endocavitary',)]","The ATL C8-4v can be used for endovaginal, gynecological, and endocavitary applications.",45.39777875,10.73240972
Do you have any ATL C8-4v in stock?,"Yes, we currently have ATL C8-4v available for sale.",['Stock'],"['ATL', 'C8-4v']",SELECT CASE WHEN p.Stock > 0 THEN 'Yes' ELSE 'No' END AS AvailableForSale FROM probes p WHERE Manufacturer = 'ATL' AND Probe_Model = 'C3';,"[('No',)]",We currently do not have any ATL C8-4v in stock.,35.75383782,10.28743744
Do you have any C8-4v for HDI 3000 for sale?,"Yes, we currently have the ATL C8-4v for the HDI 3000 available for sale.","['Stock', 'Compatibility']","['ATL', 'C8-4v', 'HDI 3000']","SELECT p.Probe_Model, s.System_Name FROM probes p JOIN compatibility c ON p.Probe_ID = c.Probe_ID JOIN systems s ON c.System_ID = s.System_ID WHERE s.System_Name = 'HDI 3000' AND p.Manufacturer = 'ATL' AND p.Probe_Model = 'C8-4v' LIMIT 5;","[('C8-4v', 'HDI 3000')]",We have the C8-4v for HDI 3000 available for sale.,12.93963957,10.62722135
Who is the manufacturer of C9-5ICT transducer?,The C9-5ICT probe is made by ATL.,['Manufacturer'],"['ATL', 'C9-5ICT']",SELECT Manufacturer FROM probes WHERE Probe_Model = 'C9-5ICT';,"[('ATL',)]",The manufacturer of the C9-5ICT transducer is ATL.,23.87678337,10.19868469
Is C9-5ICT made by ATL or Philips?,The C9-5ICT probe is made by ATL.,['Manufacturer'],"['ATL', 'C9-5ICT']",SELECT Manufacturer FROM probes WHERE Probe_Model = 'C9-5ICT';,"[('ATL',)]",The C9-5ICT probe is made by ATL.,11.11197758,9.92602706
What systems is ATL C9-5ICT compatible with?,"The ATL C9-5ICT is compatible with HDI 1000,  HDI 1500,  HDI 4000,  HDI 5000 ultrasound systems.",['Compatibility'],"['ATL', 'C9-5ICT', 'HDI 1000, HDI 1500, HDI 4000, HDI 5000']","SELECT s.System_Name
FROM compatibility c JOIN probes p ON c.Probe_ID = p.Probe_ID
JOIN systems s ON c.System_ID = s.System_ID
WHERE p.Manufacturer = 'ATL' AND p.Probe_Model = 'C9-5ICT'
LIMIT 5;","[('HDI 1000',), ('HDI 1500',), ('HDI 4000',), ('HDI 5000',)]","The ATL C9-5ICT is compatible with HDI 1000, HDI 1500, HDI 4000, and HDI 5000 ultrasound systems.",61.73388171,11.07472801
Can the ATL C9-5ICT work with the  HDI 1500?,"Yes, the ATL C9-5ICT is compatible with the  HDI 1500 ultrasound system, as well as HDI 1000,  HDI 4000,  HDI 5000.",['Compatibility'],"['ATL', 'C9-5ICT', ' HDI 1500']",SELECT CASE WHEN EXISTS (SELECT 1 FROM compatibility c WHERE c.Probe_ID = (SELECT Probe_ID from probes where Manufacturer='ATL' and Probe_Model='C9-5ICT') AND c.System_ID = (SELECT System_ID from systems where System_Name='HDI 1500')) THEN 'Yes' ELSE 'No' END AS CanWork;,"[('Yes',)]","Yes, the ATL C9-5ICT works with the HDI 1500.",25.90466046,10.22920656
